step,recall_before_action_rate,reward_total
0,0.07105414448966381,0.17871199487057535
10,0.3170676519007899,0.24734904477410918
20,0.40206041096225975,0.3007524153789871
30,0.5264474124098006,0.5179216380979513
40,0.599080327588435,0.44759085543155835
50,0.6774945397711345,0.541487499020916
60,0.7719506089835363,0.48749947650888914
70,0.7177474189654951,0.5328629340409868
80,0.7508092453218711,0.5562631949631037
90,0.7682664588608255,0.5710797787811726
100,0.8025886809322821,0.5713103174126053
110,0.8458631267294848,0.7030772044639687
120,0.855768974502124,0.6363111523619273
130,0.8396510354096041,0.6044840626305585
140,0.9046654054873792,0.6512204810729919
150,0.7710427807128057,0.6585150528088591
160,0.9414840706928411,0.624156927800461
170,0.9459889079507962,0.6887611210819583
180,0.8533597922600971,0.697053820347029
190,0.8826569161745833,0.7282951649859548
200,0.8625697951989286,0.6958057529854427
